LBSF,SKBO,02:46+03:00,21:42-05:00,0,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,02:46+03:00,08:56-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LBSF,SKBO,02:46+03:00,16:58-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LBSF,SKBO,02:46+03:00,23:15-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,02:46+03:00,01:32-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SBBR,10:54-05:00,18:40-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,02:46+03:00,07:37-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
LBSF,SKBO,02:46+03:00,19:28-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,02:46+03:00,01:32-05:00,2,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,02:46+03:00,22:25-05:00,0,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SPIM,11:17-05:00,14:58-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,02:46+03:00,23:04-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SLLP,20:09-05:00,01:46-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,02:46+03:00,11:08-05:00,1,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,06:56-03:00,11:08-05:00,300
