LDZA,SKBO,06:29+02:00,21:42-05:00,0,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SKBO,06:29+02:00,08:56-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|8,SVMI,SKBO,06:33-04:00,08:56-05:00,340
LDZA,SKBO,06:29+02:00,16:58-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
LDZA,SKBO,06:29+02:00,23:15-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,06:29+02:00,07:37-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320|14,SBBR,SKBO,03:02-03:00,07:37-05:00,320
LDZA,SKBO,06:29+02:00,19:28-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
LDZA,SKBO,06:29+02:00,01:32-05:00,2,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
LDZA,SKBO,06:29+02:00,23:04-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|95,SEQM,SLLP,20:09-05:00,01:46-04:00,320|26,SLLP,SKBO,20:09-04:00,23:04-05:00,300
LDZA,SKBO,06:29+02:00,11:08-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|101,SEQM,SCEL,17:49-05:00,01:33-03:00,320|28,SCEL,SKBO,06:56-03:00,11:08-05:00,300
LDZA,SKBO,06:29+02:00,15:55-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|101,SEQM,SCEL,17:49-05:00,01:33-03:00,320|30,SCEL,SKBO,10:43-03:00,15:55-05:00,340
LDZA,SKBO,06:29+02:00,22:53-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|101,SEQM,SCEL,17:49-05:00,01:33-03:00,320|32,SCEL,SKBO,17:41-03:00,22:53-05:00,360
