LKPR,SKBO,05:04+02:00,21:42-05:00,0,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LKPR,SKBO,05:04+02:00,08:56-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LKPR,SKBO,05:04+02:00,16:58-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LKPR,SKBO,05:04+02:00,23:15-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LKPR,SKBO,05:04+02:00,07:37-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
LKPR,SKBO,05:04+02:00,19:28-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LKPR,SKBO,05:04+02:00,01:32-05:00,2,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LKPR,SKBO,05:04+02:00,23:04-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SLLP,20:09-05:00,01:46-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LKPR,SKBO,05:04+02:00,11:08-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,06:56-03:00,11:08-05:00,300
LKPR,SKBO,05:04+02:00,15:55-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,10:43-03:00,15:55-05:00,340
LKPR,SKBO,05:04+02:00,22:53-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,17:41-03:00,22:53-05:00,360
LKPR,SKBO,05:04+02:00,14:27-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SABE,18:08-05:00,03:33-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
LKPR,SKBO,05:04+02:00,02:40-05:00,2,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SABE,18:08-05:00,03:33-03:00,320|SABE,SKBO,21:57-03:00,02:40-05:00,340
LKPR,SKBO,05:04+02:00,17:51-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SUAA,18:02-05:00,03:35-03:00,360|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LKPR,SKBO,05:04+02:00,20:00-05:00,1,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,EDDI,13:04-05:00,10:44+02:00,320|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LKPR,SKBO,05:04+02:00,01:40-05:00,2,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,EDDI,13:04-05:00,10:44+02:00,320|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,05:04+02:00,01:40-05:00,2,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,EDDI,19:12-05:00,16:52+02:00,320|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,05:04+02:00,02:06-05:00,2,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,LOWW,17:31-05:00,14:28+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,05:04+02:00,02:06-05:00,2,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,LOWW,22:20-05:00,19:17+02:00,300|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,14:31+02:00,08:56-05:00,1,false|LKPR,SEQM,14:31+02:00,21:17-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
