OMDB,SKBO,00:23+04:00,21:42-05:00,0,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,00:23+04:00,08:56-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
OMDB,SKBO,00:23+04:00,16:58-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,14:35-04:00,16:58-05:00,340
OMDB,SKBO,00:23+04:00,23:15-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,00:23+04:00,01:32-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SBBR,10:54-05:00,18:40-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,00:23+04:00,07:37-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
OMDB,SKBO,00:23+04:00,19:28-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
OMDB,SKBO,00:23+04:00,22:25-05:00,0,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SPIM,11:17-05:00,14:58-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,00:23+04:00,23:04-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SLLP,20:09-05:00,01:46-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
OMDB,SKBO,00:23+04:00,11:08-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,06:56-03:00,11:08-05:00,300
OMDB,SKBO,00:23+04:00,15:55-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,10:43-03:00,15:55-05:00,340
OMDB,SKBO,00:23+04:00,22:53-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,17:41-03:00,22:53-05:00,360
OMDB,SKBO,00:23+04:00,02:40-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SABE,11:54-05:00,20:19-03:00,300|SABE,SKBO,21:57-03:00,02:40-05:00,340
OMDB,SKBO,00:23+04:00,14:27-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SABE,18:08-05:00,03:33-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
OMDB,SKBO,00:23+04:00,17:51-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SUAA,18:02-05:00,03:35-03:00,360|SUAA,SKBO,12:02-03:00,17:51-05:00,340
OMDB,SKBO,00:23+04:00,20:00-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,EDDI,11:07-05:00,08:47+02:00,360|EDDI,SKBO,14:07+02:00,20:00-05:00,300
OMDB,SKBO,00:23+04:00,20:00-05:00,1,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,EDDI,13:04-05:00,10:44+02:00,320|EDDI,SKBO,14:07+02:00,20:00-05:00,300
OMDB,SKBO,11:32+04:00,08:56-05:00,1,false|OMDB,SEQM,11:32+04:00,21:28-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
